"Source:","C:\Users\samue\OneDrive\Documents\ELECTRONICS_PROJECTS\TallySystems\KiCad\TallyLight\TallyLight.kicad_sch"
"Date:","9/11/2023 0:10:53"
"Tool:","Eeschema 7.0.5"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","3","3V1, 5V1, LED1","LED","Device:LED","LED_SMD:LED_0805_2012Metric","~","","","","","","",""
"2","11","C1, C2, C3, C4, C5, C6, C7, C8, C14, C15, C16","104","SamacSys_Parts:C0805C104M5RACTU","SamacSys_Parts:C0805","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","SMD Comm X7R, Ceramic, 0.1 uF, 20%, 50 VDC, 125 VDC, 125?C, -55?C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 10 GOhms, 11 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 4000, 78  Weeks, 80","1.1","KEMET","C0805C104M5RACTU","80-C0805C104M5R","https://www.mouser.co.uk/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D"
"3","2","C9, C11","105","SamacSys_Parts:CL21B105KBFNNNG","SamacSys_Parts:CAPC2012X135N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA8/2478774.pdf","","Cap Ceramic 1uF 50V X7R 10% Pad SMD 0805 125C T/R","1.35","Samsung Electro-Mechanics","CL21B105KBFNNNG","187-CL21B105KBFNNNG","https://www.mouser.co.uk/ProductDetail/Samsung-Electro-Mechanics/CL21B105KBFNNNG?qs=hqM3L16%252Bxlf%252BLSavaAk0sA%3D%3D"
"4","1","C10","471","SamacSys_Parts:C0805C471K5RACTU","SamacSys_Parts:C0805","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","","SMD Comm X7R, Ceramic, 470 pF, 10%, 50 VDC, 125 VDC, 125?C, -55?C, X7R, SMD, MLCC, Temperature Stable, Class II, 2.5 % , 100 GOhms, 11 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 4000, 78  Weeks, 80","1.1","KEMET","C0805C471K5RACTU","80-C0805C471K5R","https://www.mouser.co.uk/ProductDetail/KEMET/C0805C471K5RACTU?qs=zLJ08xwufm6Yml9V9rLpFw%3D%3D"
"5","2","C12, C13","106","SamacSys_Parts:GRM188D71A106MA73J","SamacSys_Parts:CAPC1608X90N","https://psearch.en.murata.com/capacitor/product/GRM188D71A106MA73%23.html","","Capacitor GRM18_0.20 L=1.6mm W=0.8mm T=0.8mm","0.9","Murata Electronics","GRM188D71A106MA73J","81-GRM188D71A106MA3J","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GRM188D71A106MA73J?qs=hNud%2FORuBR3g0t9KhbQaoQ%3D%3D"
"6","2","C17, C18","22p","SamacSys_Parts:C0805C220K5HACTU","SamacSys_Parts:C0805","https://content.kemet.com/datasheets/KEM_C1007_X8R_ULTRA_150C_SMD.pdf","","SMD Comm X8R HT150C, Ceramic, 22 pF, 10%, 50 VDC, 125 VDC, 150C, -55C, X8R, SMD, MLCC, High Temperature, Ultra-Stable, 2.5 % , 100 GOhms, 11 mg, 0805, 2mm, 1.25mm, 0.78mm, 0.75mm, 0.5mm, 4000, 78  Weeks","1.1","KEMET","C0805C220K5HACTU","80-C0805C220K5HACTU","https://www.mouser.co.uk/ProductDetail/KEMET/C0805C220K5HACTU?qs=W0yvOO0ixfEHOdsIsVM%2FuQ%3D%3D"
"7","1","IC1","TC1263-3.3VOATR","SamacSys_Parts:TC1263-3.3VOATR","SamacSys_Parts:SOIC127P600X175-8N","http://ww1.microchip.com/downloads/en/DeviceDoc/21374D.pdf","","LDO Voltage Regulators 500mA Fixed Out Adj","1.75","Microchip","TC1263-3.3VOATR","579-TC1263-3.3VOATR","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/TC1263-33VOATR?qs=JKWmWPM4binFIJC0VNJYCQ%3D%3D"
"8","1","IC2","VEML7700-TT","SamacSys_Parts:VEML7700-TT","SamacSys_Parts:VEML7700","https://www.arrow.com/en/products/veml7700-tt/vishay","","16Bit Ambient Light Sensor I2C 6.8x2.3mm","","Vishay","VEML7700-TT","78-VEML7700-TT","https://www.mouser.co.uk/ProductDetail/Vishay-Semiconductors/VEML7700-TT?qs=BcfjnG7NVaXdL6DJFdWbdw%3D%3D"
"9","1","IC3","ATMEGA328PB-AU","SamacSys_Parts:ATMEGA328PB-AU","SamacSys_Parts:QFP80P900X900X120-32N","","","ATMEL - ATMEGA328PB-AU - MCU, 8BIT, ATMEGA, 20MHZ, TQFP-32","1.2","Microchip","ATMEGA328PB-AU","556-ATMEGA328PB-AU","https://www.mouser.co.uk/ProductDetail/Microchip-Technology/ATMEGA328PB-AU?qs=jy4bLUHv09hbFONgGrqPbw%3D%3D"
"10","1","J1","USB4125-GF-A-0190","SamacSys_Parts:USB4125-GF-A-0190","SamacSys_Parts:USB4125GFA0190","","","USB Connectors USB C Rec GF RA 6P SMT TH Stakes 1.9mm","","GCT (GLOBAL CONNECTOR TECHNOLOGY)","USB4125-GF-A-0190","640-USB4125-GF-A-190","https://www.mouser.co.uk/ProductDetail/GCT/USB4125-GF-A-0190?qs=QNEnbhJQKvbCz4hEJBS24w%3D%3D"
